query,sql,natural_answer,natural_answer_clean,keywords
경주시 37세 남자 서비스 혜택 알고 싶어요.,"SELECT benefit_summary, benefit_details, keywords FROM benefits WHERE area LIKE '%경주시%' AND min_age <= 37 AND max_age >= 37 AND (gender = '남자' OR gender = '') LIMIT 15;","경주시의 37세 남성에게 적합한 서비스 혜택으로는 가축 사육 및 축산시설물을 운영하는 경우 가축재해에 대한 피해를 보전받을 수 있는 가축재해보험이 있습니다. 이 보험은 보험료 지원을 통해 농업인에게 도움을 주며, 경주시 내에서 이용할 수 있는 서비스입니다. 가축을 키우고 계신다면 이 혜택을 고려해보시길 추천드립니다.","경주시의 37세 남성에게 적합한 서비스 혜택으로는 가축 사육 및 축산시설물을 운영하는 경우 가축재해에 대한 피해를 보전받을 수 있는 가축재해보험이 있습니다. 이 보험은 보험료 지원을 통해 농업인에게 도움을 주며, 경주시 내에서 이용할 수 있는 서비스입니다. 가축을 키우고 계신다면 이 혜택을 고려해보시길 추천드립니다.","경주시, 37세 남성, 서비스 혜택, 가축 사육, 가축재해보험"
현재 받을 수 있는 지원금은 무엇이 있나요?,SELECT * FROM benefits WHERE start_date <= CURDATE() AND end_date >= CURDATE() LIMIT 15;,"현재 받을 수 있는 지원금에는 다음과 같은 것이 있습니다:

1. **수산업경영회생자금 지원**:
   - 대상: 어업인, 어업경영체 및 어업법인 등.
   - 내용: 어려움에 처한 어업경영체를 대상으로 지원하는 융자 프로그램으로, 5년 간의 거치기간 후 7년간 균분 상환하며, 융자금리는 1%입니다. 지원 항목으로는 수협은행 대출금의 원리금, 어업시설 개보수 자금, 운영자금 등이 포함됩니다.
   - 신청 방법: 현장 방문 및 방문신청이 가능하며, 신청 기간은 2025년 1월 1일부터 2025년 12월 10일까지입니다.

2. **군 복무 중 자기개발비 지원**:
   - 대상: 병 및 상근예비역.
   - 내용: 연간 최대 24만원을 지원하며, 도서 구입비, 강좌 수강료, 학습용품비 등을 지원합니다.
   - 신청 방법: 온라인 신청이 가능하며, 나라사랑포털을 통해 진행됩니다. 지원 기간은 2025년 1월 1일부터 2025년 11월 30일까지입니다.

3. **평생교육바우처 지원**:
   - 대상: 기초생활보장 수급자 및 차상위계층.
   - 내용: 1인당 연간 35만원의 바우처를 제공하여 평생 교육 강좌 수강료 및 교재비에 사용 가능합니다.
   - 신청 방법: 온라인 신청이 가능하며, 신청 기간은 2025년 3월 1일부터 2025년 11월 30일까지입니다.

4. **인플루엔자 백신 접종 지원**:
   - 대상: 생후 6개월~13세 어린이, 임신부, 65세 이상 노인.
   - 내용: 인플루엔자 4가 백신 접종을 무료로 지원합니다.
   - 신청 방법: 현장 방문하여 지정 의료기관 및 보건소에서 신청 가능하며, 지원 기간은 2024년 9월 20일부터 2025년 4월 30일까지입니다.

5. **관광사업체 시설자금 및 운영자금 지원**:
   - 대상: 관광사업체.
   - 내용: 신축 투자 및 운영자금을 융자 지원합니다.
   - 신청 방법: 온라인 및 방문 신청이 가능하며, 지원기간은 2024년 12월 30일부터 2025년 5월 16일까지입니다.

6. **문화누리카드 지원**:
   - 대상: 기초생활보장 수급자 및 차상위계층.
   - 내용: 문화예술 활동에 사용할 수 있는 카드입니다. 연간 14만원 지원합니다.
   - 신청 방법: 온라인 및 방문 신청이 가능하며, 신청 기간은 2025년 2월 3일부터 2025년 11월 28일까지입니다.

7. **저소득 가구 임대차계약 중개수수료 지원**:
   - 대상: 국민기초생활보장법에 따라 수급자 및 차상위계층.
   - 내용: 임대차계약시 발생하는 중개수수료를 최대 60만원까지 지원합니다.
   - 신청 방법: 온라인 및 현장 방문 신청이 가능하며, 지원 기간은 2025년 1월 1일부터 2025년 12월 31일까지입니다.

이 외에도 다양한 지원 프로그램이 있으니 필요에 따라 확인하시고 신청하시기 바랍니다.","현재 받을 수 있는 지원금에는 다음과 같은 것이 있습니다: 수산업경영회생자금 지원: - 대상: 어업인, 어업경영체 및 어업법인 등. - 내용: 어려움에 처한 어업경영체를 대상으로 지원하는 융자 프로그램으로, 5년 간의 거치기간 후 7년간 균분 상환하며, 융자금리는 1%입니다. 지원 항목으로는 수협은행 대출금의 원리금, 어업시설 개보수 자금, 운영자금 등이 포함됩니다. - 신청 방법: 현장 방문 및 방문신청이 가능하며, 신청 기간은 2025년 1월 1일부터 2025년 12월 10일까지입니다. 군 복무 중 자기개발비 지원: - 대상: 병 및 상근예비역. - 내용: 연간 최대 24만원을 지원하며, 도서 구입비, 강좌 수강료, 학습용품비 등을 지원합니다. - 신청 방법: 온라인 신청이 가능하며, 나라사랑포털을 통해 진행됩니다. 지원 기간은 2025년 1월 1일부터 2025년 11월 30일까지입니다. 평생교육바우처 지원: - 대상: 기초생활보장 수급자 및 차상위계층. - 내용: 1인당 연간 35만원의 바우처를 제공하여 평생 교육 강좌 수강료 및 교재비에 사용 가능합니다. - 신청 방법: 온라인 신청이 가능하며, 신청 기간은 2025년 3월 1일부터 2025년 11월 30일까지입니다. 인플루엔자 백신 접종 지원: - 대상: 생후 6개월~13세 어린이, 임신부, 65세 이상 노인. - 내용: 인플루엔자 4가 백신 접종을 무료로 지원합니다. - 신청 방법: 현장 방문하여 지정 의료기관 및 보건소에서 신청 가능하며, 지원 기간은 2024년 9월 20일부터 2025년 4월 30일까지입니다. 관광사업체 시설자금 및 운영자금 지원: - 대상: 관광사업체. - 내용: 신축 투자 및 운영자금을 융자 지원합니다. - 신청 방법: 온라인 및 방문 신청이 가능하며, 지원기간은 2024년 12월 30일부터 2025년 5월 16일까지입니다. 문화누리카드 지원: - 대상: 기초생활보장 수급자 및 차상위계층. - 내용: 문화예술 활동에 사용할 수 있는 카드입니다. 연간 14만원 지원합니다. - 신청 방법: 온라인 및 방문 신청이 가능하며, 신청 기간은 2025년 2월 3일부터 2025년 11월 28일까지입니다. 저소득 가구 임대차계약 중개수수료 지원: - 대상: 국민기초생활보장법에 따라 수급자 및 차상위계층. - 내용: 임대차계약시 발생하는 중개수수료를 최대 60만원까지 지원합니다. - 신청 방법: 온라인 및 현장 방문 신청이 가능하며, 지원 기간은 2025년 1월 1일부터 2025년 12월 31일까지입니다. 이 외에도 다양한 지원 프로그램이 있으니 필요에 따라 확인하시고 신청하시기 바랍니다.","지원금, 수산업경영회생자금, 군 복무, 평생교육바우처, 인플루엔자 백신, 관광사업체, 문화누리카드, 임대차계약"
장애인을 위한 지원 혜택에는 어떤 것이 있나요?,"SELECT benefit_summary, benefit_details, keywords FROM benefits WHERE personal_category LIKE '%장애인%' LIMIT 15;","장애인을 위한 지원 혜택에는 여러 가지가 있습니다. 주요 지원 내용은 다음과 같습니다:

1. **법률 지원**: 장애인을 포함한 범죄 피해자를 위해 성폭력, 아동학대 및 인신매매와 관련하여 법률적 지원을 제공합니다. 또한, 해양사고와 관련하여 법률 지원 및 국선변론인을 통해 도움이 제공됩니다.

2. **무료 법률 서비스**: 취약계층을 위한 무료 법률 서비스를 통해 법적인 상담과 지원을 받을 수 있습니다.

3. **차량 관련 세금 감면**: 장애인을 위해 차량 취득세 및 자동차세가 감면되는 혜택이 있습니다.

4. **특수교육 지원**: 국립특수학교 및 국립부설학교의 특수학급을 지원하며, 장애학생의 가족이 참여하는 국외체험 연수도 지원합니다.

5. **보조기기 서비스 제공**: 장애인 및 노인을 위한 보조기기를 제공하고, 관련 상담 서비스도 이루어집니다.

이 외에도 국가에서 다양한 프로그램과 서비스를 통해 장애인을 지원하고 있습니다.","장애인을 위한 지원 혜택에는 여러 가지가 있습니다. 주요 지원 내용은 다음과 같습니다: 법률 지원: 장애인을 포함한 범죄 피해자를 위해 성폭력, 아동학대 및 인신매매와 관련하여 법률적 지원을 제공합니다. 또한, 해양사고와 관련하여 법률 지원 및 국선변론인을 통해 도움이 제공됩니다. 무료 법률 서비스: 취약계층을 위한 무료 법률 서비스를 통해 법적인 상담과 지원을 받을 수 있습니다. 차량 관련 세금 감면: 장애인을 위해 차량 취득세 및 자동차세가 감면되는 혜택이 있습니다. 특수교육 지원: 국립특수학교 및 국립부설학교의 특수학급을 지원하며, 장애학생의 가족이 참여하는 국외체험 연수도 지원합니다. 보조기기 서비스 제공: 장애인 및 노인을 위한 보조기기를 제공하고, 관련 상담 서비스도 이루어집니다. 이 외에도 국가에서 다양한 프로그램과 서비스를 통해 장애인을 지원하고 있습니다.","장애인, 지원 혜택, 법률 지원, 무료 법률 서비스, 차량 관련 세금 감면"
한부모 가정을 대상으로 하는 지원금은 무엇인가요?,"SELECT benefit_summary, benefit_details, keywords FROM benefits WHERE household_category LIKE '%한부모가정%' LIMIT 15;","한부모 가정을 위한 다양한 지원금 및 혜택이 있습니다. 다음은 해당 지원금 목록입니다:

1. **한부모가족 임대주택 특별공급**: 한부모 가정이 주거 자립을 할 수 있도록 돕는 임대주택 특별공급 프로그램입니다.
   
2. **한부모가족의 법적 분쟁 발생 시 무료 법률 지원**: 법적 문제로 어려움을 겪는 한부모 가정을 위해 소송 비용 등을 무료로 지원하는 서비스입니다.
   
3. **저소득 청소년부모 가구 자녀 양육비 지원**: 저소득층 청소년 부모 가구의 자녀 양육을 돕기 위한 현금 지원 프로그램입니다.

4. **미성년 미혼한부모 지원**: 미성년인 미혼한부모에게 생활비를 지원하는 프로그램입니다.

이 외에도 한부모 가정을 포함한 다양한 계층을 위한 여러 지원 프로그램이 있으니 필요에 따라 적절한 지원을 받을 수 있는 방법을 찾아보시는 것이 좋습니다.",한부모 가정을 위한 다양한 지원금 및 혜택이 있습니다. 다음은 해당 지원금 목록입니다: 한부모가족 임대주택 특별공급: 한부모 가정이 주거 자립을 할 수 있도록 돕는 임대주택 특별공급 프로그램입니다. 한부모가족의 법적 분쟁 발생 시 무료 법률 지원: 법적 문제로 어려움을 겪는 한부모 가정을 위해 소송 비용 등을 무료로 지원하는 서비스입니다. 저소득 청소년부모 가구 자녀 양육비 지원: 저소득층 청소년 부모 가구의 자녀 양육을 돕기 위한 현금 지원 프로그램입니다. 미성년 미혼한부모 지원: 미성년인 미혼한부모에게 생활비를 지원하는 프로그램입니다. 이 외에도 한부모 가정을 포함한 다양한 계층을 위한 여러 지원 프로그램이 있으니 필요에 따라 적절한 지원을 받을 수 있는 방법을 찾아보시는 것이 좋습니다.,"한부모 가정, 지원금, 혜택, 임대주택 특별공급, 법률 지원, 자녀 양육비, 미성년 미혼한부모"
청년층을 위한 생활안정 지원은 어떤 프로그램이 있나요?,"SELECT benefit_summary, benefit_details, keywords FROM benefits WHERE min_age <= 39 AND max_age >= 19 LIMIT 15;","청년층을 위한 생활안정 지원 프로그램으로는 여러 가지가 있습니다. 예를 들어, 주택도시기금에서 제공하는 월세자금보증 지원이 있습니다. 이는 월세를 지불하는 데 어려움을 겪는 청년들에게 큰 도움이 될 수 있습니다. 또한, 청년 창업을 지원하는 융자 프로그램도 있으며, 이를 통해 귀어 창업 및 주택구입을 지원받을 수 있습니다.

아울러, 소득이 적은 근로소득자에게는 근로장려금과 자녀장려금을 지원하여 생활안정에 기여하고 있습니다. 이러한 다양한 지원 프로그램들은 청년층이 더 안정된 생활을 할 수 있도록 돕고 있습니다. 도움이 필요하시다면 관련 기관에 문의하여 자세한 정보를 알아보시는 것이 좋습니다.","청년층을 위한 생활안정 지원 프로그램으로는 여러 가지가 있습니다. 예를 들어, 주택도시기금에서 제공하는 월세자금보증 지원이 있습니다. 이는 월세를 지불하는 데 어려움을 겪는 청년들에게 큰 도움이 될 수 있습니다. 또한, 청년 창업을 지원하는 융자 프로그램도 있으며, 이를 통해 귀어 창업 및 주택구입을 지원받을 수 있습니다. 아울러, 소득이 적은 근로소득자에게는 근로장려금과 자녀장려금을 지원하여 생활안정에 기여하고 있습니다. 이러한 다양한 지원 프로그램들은 청년층이 더 안정된 생활을 할 수 있도록 돕고 있습니다. 도움이 필요하시다면 관련 기관에 문의하여 자세한 정보를 알아보시는 것이 좋습니다.","청년층, 생활안정, 지원 프로그램, 월세자금보증, 청년 창업, 근로장려금"
소득 기준에 따라 받을 수 있는 지원금은 어떻게 되나요?,"SELECT benefit_summary, benefit_details, keywords FROM benefits WHERE income_category IS NOT NULL LIMIT 15;","소득 기준에 따라 받을 수 있는 지원금에는 다음과 같은 항목들이 있습니다:

1. **합작수산물 관세 감면**: 수산물 수입에 따른 관세를 감면받을 수 있습니다.
   
2. **원양어업 경영자금 지원**: 원양어업에 종사하는 어업인에게 경영자금을 융자 형식으로 지원합니다.

3. **해양사고 관련 법률 지원**: 해양사고와 관련하여 사회적 약자를 위해 법률 지원을 받을 수 있습니다.

4. **고가의 수산장비 구입 비용 지원**: 수산장비 구매에 대한 융자 지원이 제공됩니다.

5. **귀어 창업 및 주택구입 지원(융자)**: 귀어를 희망하는 이들을 위해 창업과 주택구입에 대한 융자 지원이 이루어집니다.

6. **원양어선의 안전성 확보와 어선원 복지 증진**: 원양어선의 안전성을 높이고 어선원의 복지를 위해 현금 지원이 제공됩니다.

7. **국제옵서버를 승선시킨 원양선사에 대한 지원**: 원양선사에서 옵서버를 승선시킬 경우 승선 경비 및 활동 지원이 이루어집니다.

8. **친환경 에너지 절감 장비 보급**: 어업인에게 에너지 절감 장비를 보급하고 현금 지원을 제공하여 친환경적인 경영을 촉진합니다.

9. **주택도시기금 월세자금보증 지원**: 주거안정을 위해 월세 대출 요건을 충족하는 대상자에게 월세자금 보증을 지원합니다.

10. **산지 및 소비지 유통자금 융자 지원**: 산지 유통 및 소비지에서 수산물 거래를 위한 융자 지원이 있습니다.

각 지원금은 소득 수준이나 특정 조건에 따라 다르게 신청할 수 있으니, 자세한 내용은 관련 기관에 문의해 보시기 바랍니다.","소득 기준에 따라 받을 수 있는 지원금에는 다음과 같은 항목들이 있습니다: 합작수산물 관세 감면: 수산물 수입에 따른 관세를 감면받을 수 있습니다. 원양어업 경영자금 지원: 원양어업에 종사하는 어업인에게 경영자금을 융자 형식으로 지원합니다. 해양사고 관련 법률 지원: 해양사고와 관련하여 사회적 약자를 위해 법률 지원을 받을 수 있습니다. 고가의 수산장비 구입 비용 지원: 수산장비 구매에 대한 융자 지원이 제공됩니다. 귀어 창업 및 주택구입 지원(융자): 귀어를 희망하는 이들을 위해 창업과 주택구입에 대한 융자 지원이 이루어집니다. 원양어선의 안전성 확보와 어선원 복지 증진: 원양어선의 안전성을 높이고 어선원의 복지를 위해 현금 지원이 제공됩니다. 국제옵서버를 승선시킨 원양선사에 대한 지원: 원양선사에서 옵서버를 승선시킬 경우 승선 경비 및 활동 지원이 이루어집니다. 친환경 에너지 절감 장비 보급: 어업인에게 에너지 절감 장비를 보급하고 현금 지원을 제공하여 친환경적인 경영을 촉진합니다. 주택도시기금 월세자금보증 지원: 주거안정을 위해 월세 대출 요건을 충족하는 대상자에게 월세자금 보증을 지원합니다. 산지 및 소비지 유통자금 융자 지원: 산지 유통 및 소비지에서 수산물 거래를 위한 융자 지원이 있습니다. 각 지원금은 소득 수준이나 특정 조건에 따라 다르게 신청할 수 있으니, 자세한 내용은 관련 기관에 문의해 보시기 바랍니다.","지원금, 수산물, 경영자금, 귀어 창업, 안전성 확보"
지원금을 신청하는 방법은 무엇인가요?,SELECT application_method FROM benefits LIMIT 15;,"지원금을 신청하는 방법은 주로 현장 방문을 통해 이루어집니다. 기타 방법도 있을 수 있지만, 현장 방문이 가장 일반적인 신청 방식입니다. 필요한 정보나 서류를 준비하여 해당 장소를 방문하시기 바랍니다.","지원금을 신청하는 방법은 주로 현장 방문을 통해 이루어집니다. 기타 방법도 있을 수 있지만, 현장 방문이 가장 일반적인 신청 방식입니다. 필요한 정보나 서류를 준비하여 해당 장소를 방문하시기 바랍니다.","지원금, 신청, 현장 방문, 정보, 서류"
온라인으로 신청 가능한 지원금이 있나요?,"SELECT benefit_summary, benefit_details, keywords FROM benefits WHERE application_method LIKE '%온라인%' LIMIT 15;","온라인으로 신청 가능한 지원금으로는 다음과 같은 여러 가지가 있습니다:

1. **인증부표 교체 비용 지원** - 어업인들을 위한 지원으로, 인증부표 교체에 필요한 비용을 지원합니다.
  
2. **선원 및 직계가족을 위한 복지서비스 제공** - 선원과 그 가족을 위해 다양한 복지 서비스와 장학금을 제공합니다.
  
3. **조건이 불리한 지역에서 어업을 경영하는 어가 대상 소득 보전** - 조건이 불리한 지역에서 어업을 하는 가구에 소득을 보전하는 지원입니다.
  
4. **군 복무 중 병의 자기개발 비용 지원** - 군인들이 자기개발을 위한 교육 비용으로 최대 12만원까지 지원합니다.
  
5. **저소득층에게 평생교육시설 강좌를 수강할 수 있는 바우처 제공** - 저소득층을 위한 평생교육 바우처가 제공되어 관련 강좌를 수강할 수 있습니다.
  
6. **임산부 및 영유아 영양 지원** - 임산부와 영유아를 위한 영양 지원 프로그램이 있습니다.
  
7. **유휴 간호사 등을 위한 교육 및 취업 연계 서비스 제공** - 퇴직 간호사 등을 위한 교육과 취업 연계 서비스입니다.
  
8. **저소득층 유청소년 대상 스포츠 강좌 수강료 지원** - 저소득층 청소년을 위한 스포츠 강좌 수강료를 지원합니다.
  
9. **기초생활수급자 및 차상위 계층에게 문화예술, 국내여행 등에 사용 가능한 문화누리카드 제공** - 문화누리카드를 통해 문화예술 활동이나 여행에 사용할 수 있는 바우처를 제공합니다.
  
10. **소상공인 창업교육 지원 사업** - 예비 창업자와 소상공인을 위한 창업 교육 및 사업화 지원을 진행합니다.

이 외에도 다양한 지원금과 프로그램이 있으니 필요에 따라 신청하시기 바랍니다.","온라인으로 신청 가능한 지원금으로는 다음과 같은 여러 가지가 있습니다: 인증부표 교체 비용 지원 - 어업인들을 위한 지원으로, 인증부표 교체에 필요한 비용을 지원합니다. 선원 및 직계가족을 위한 복지서비스 제공 - 선원과 그 가족을 위해 다양한 복지 서비스와 장학금을 제공합니다. 조건이 불리한 지역에서 어업을 경영하는 어가 대상 소득 보전 - 조건이 불리한 지역에서 어업을 하는 가구에 소득을 보전하는 지원입니다. 군 복무 중 병의 자기개발 비용 지원 - 군인들이 자기개발을 위한 교육 비용으로 최대 12만원까지 지원합니다. 저소득층에게 평생교육시설 강좌를 수강할 수 있는 바우처 제공 - 저소득층을 위한 평생교육 바우처가 제공되어 관련 강좌를 수강할 수 있습니다. 임산부 및 영유아 영양 지원 - 임산부와 영유아를 위한 영양 지원 프로그램이 있습니다. 유휴 간호사 등을 위한 교육 및 취업 연계 서비스 제공 - 퇴직 간호사 등을 위한 교육과 취업 연계 서비스입니다. 저소득층 유청소년 대상 스포츠 강좌 수강료 지원 - 저소득층 청소년을 위한 스포츠 강좌 수강료를 지원합니다. 기초생활수급자 및 차상위 계층에게 문화예술, 국내여행 등에 사용 가능한 문화누리카드 제공 - 문화누리카드를 통해 문화예술 활동이나 여행에 사용할 수 있는 바우처를 제공합니다. 소상공인 창업교육 지원 사업 - 예비 창업자와 소상공인을 위한 창업 교육 및 사업화 지원을 진행합니다. 이 외에도 다양한 지원금과 프로그램이 있으니 필요에 따라 신청하시기 바랍니다.","지원금, 인증부표 교체, 복지서비스, 소득 보전, 교육비용, 평생교육시설, 영양 지원, 스포츠 강좌, 문화누리카드, 창업교육"
방문 신청이 가능한 혜택은 무엇인가요?,"SELECT benefit_summary, benefit_details, keywords FROM benefits WHERE application_method LIKE '%방문 신청%' LIMIT 15;","방문 신청이 가능한 혜택은 다음과 같습니다:

1. **저소득층 유청소년 대상 스포츠 강좌 수강료 지원**: 이 지원은 저소득층의 유청소년이 스포츠 강좌를 이용할 수 있도록 돕습니다.
   
2. **문화누리카드 제공**: 기초생활수급자 및 차상위 계층에게 문화예술, 국내여행 등에 사용할 수 있는 문화누리카드를 제공합니다.

3. **저리 융자 지원**: 저소득 근로자를 위해 생활 안정을 위한 저리 융자 자금을 지원합니다.

4. **전세보증금 반환보증 보증료 지원**: 주거 자립을 위해 전세 보증금과 관련된 반환보증의 보증료를 지원합니다.

5. **장애인 가정 출산 지원금**: 장애인 가정에 출산 시 지원금을 제공합니다.

6. **고등학교 입학생 입학지원금 지원**: 고등학교에 입학하는 학생을 위한 지원금입니다.

7. **둘째 이상 자녀 출산 가정에 대한 출산 지원금**: 둘째 이상의 자녀를 출산한 가정에 지원금을 제공합니다.

8. **참전유공자 사망 시 위로금 지원**: 북구에 거주하는 만 65세 이상의 참전유공자 사망 시 위로금을 지원합니다.

9. **초중고교생 교육활동 지원**: 저소득층 초중고 학생들에게 교육 활동을 지원하는 혜택입니다.

10. **입양아동 입양축하금 지원**: 입양된 아동에게 입양 축하금을 지원합니다.

이러한 혜택을 통해 다양한 계층의 소외 계층을 지원하고 있습니다. 필요한 경우 해당 혜택에 대해 더 자세한 정보를 요청하실 수 있습니다.","방문 신청이 가능한 혜택은 다음과 같습니다: 저소득층 유청소년 대상 스포츠 강좌 수강료 지원: 이 지원은 저소득층의 유청소년이 스포츠 강좌를 이용할 수 있도록 돕습니다. 문화누리카드 제공: 기초생활수급자 및 차상위 계층에게 문화예술, 국내여행 등에 사용할 수 있는 문화누리카드를 제공합니다. 저리 융자 지원: 저소득 근로자를 위해 생활 안정을 위한 저리 융자 자금을 지원합니다. 전세보증금 반환보증 보증료 지원: 주거 자립을 위해 전세 보증금과 관련된 반환보증의 보증료를 지원합니다. 장애인 가정 출산 지원금: 장애인 가정에 출산 시 지원금을 제공합니다. 고등학교 입학생 입학지원금 지원: 고등학교에 입학하는 학생을 위한 지원금입니다. 둘째 이상 자녀 출산 가정에 대한 출산 지원금: 둘째 이상의 자녀를 출산한 가정에 지원금을 제공합니다. 참전유공자 사망 시 위로금 지원: 북구에 거주하는 만 65세 이상의 참전유공자 사망 시 위로금을 지원합니다. 초중고교생 교육활동 지원: 저소득층 초중고 학생들에게 교육 활동을 지원하는 혜택입니다. 입양아동 입양축하금 지원: 입양된 아동에게 입양 축하금을 지원합니다. 이러한 혜택을 통해 다양한 계층의 소외 계층을 지원하고 있습니다. 필요한 경우 해당 혜택에 대해 더 자세한 정보를 요청하실 수 있습니다.","저소득층, 유청소년, 스포츠 강좌, 문화누리카드, 장애인 가정 출산 지원금"
노인 복지 혜택에는 어떤 항목이 포함되나요?,"SELECT benefit_summary, benefit_details, keywords FROM benefits WHERE min_age >= 65 OR max_age >= 65 LIMIT 15;","노인 복지 혜택에는 다양한 항목이 포함되며, 아래와 같은 주요 지원 프로그램이 있습니다:

1. **해양사고 관련 법률 지원**: 해양사고에 관련된 법률 자문 및 국선변론을 지원하는 혜택입니다.
2. **주택도시기금 주거안정 월세대출**: 주택금융공사를 통해 월세 자금 보증을 지원하여 주거 안정을 도모합니다.
3. **근로장려금 및 자녀장려금**: 소득이 적은 근로소득자에게 지급되는 경제적 지원으로, 세금 감면 혜택도 포함됩니다.

이 외에도 어업인 대상의 다양한 경영 및 교육 지원 프로그램이 존재하지만, 노인 복지에 직접적으로 관련된 내용은 위와 같습니다. 따라서 노인들이 필요로 하는 복지 혜택에 맞춰 이러한 지원이 마련되어 있습니다.","노인 복지 혜택에는 다양한 항목이 포함되며, 아래와 같은 주요 지원 프로그램이 있습니다: 해양사고 관련 법률 지원: 해양사고에 관련된 법률 자문 및 국선변론을 지원하는 혜택입니다. 주택도시기금 주거안정 월세대출: 주택금융공사를 통해 월세 자금 보증을 지원하여 주거 안정을 도모합니다. 근로장려금 및 자녀장려금: 소득이 적은 근로소득자에게 지급되는 경제적 지원으로, 세금 감면 혜택도 포함됩니다. 이 외에도 어업인 대상의 다양한 경영 및 교육 지원 프로그램이 존재하지만, 노인 복지에 직접적으로 관련된 내용은 위와 같습니다. 따라서 노인들이 필요로 하는 복지 혜택에 맞춰 이러한 지원이 마련되어 있습니다.","복지 혜택, 노인, 지원 프로그램, 주거 안정, 근로장려금"
